neighborhood_name,HomeSize,LotSize,Bedrooms,Bathrooms,SexOffenders,EnviornmentalHazards,Age,SalePrice,Neighborhood,YearBuilt,latitude,longitude,CrimeIndex_Slightly High,CrimeIndex_Very Low,CrimeIndex_Low,CrimeIndex_Moderate,CrimeIndex_High,CrimeIndex_Moderately High,SchoolQuality_Poor,SchoolQuality_Excellent,SchoolQuality_Above Average,SchoolQuality_Average,CrimeIndex_Very High
Adams-Normandie,1950.5,6056.666666666667,4.833333333333333,2.6666666666666665,22.333333333333332,5.666666666666667,108.16666666666667,"$727,833.33",727833.3333333334,1908.6666666666667,-118.30020800000011,34.031461499124156,1,0,0,0,0,0,1,0,0,0,0
Agoura Hills,2079.8333333333335,9047.416666666666,3.75,2.5833333333333335,0.08333333333333333,2.1666666666666665,42.0,"$924,666.67",924666.6666666666,1975.8333333333333,-118.75988450000015,34.146736499122795,0,1,0,0,0,0,0,1,0,0,0
Alhambra,1641.4782608695652,6699.04347826087,3.0434782608695654,2.0,4.586956521739131,6.956521739130435,76.28260869565217,"$788,902.17",788902.1739130433,1941.7173913043478,-118.13651200000021,34.08553899912357,0,0,1,0,0,0,0,1,0,0,0
Alondra Park,1161.8333333333333,5558.166666666667,2.8333333333333335,1.5,4.5,7.833333333333333,71.0,"$625,666.67",625666.6666666666,1948.3333333333333,-118.33515598608159,33.889617004889644,0,0,0,1,0,0,0,0,1,0,0
Altadena,1594.2045454545455,8305.25,2.965909090909091,1.8409090909090908,2.5568181818181817,3.090909090909091,77.72727272727273,"$939,371.59",939371.5909090925,1941.0681818181818,-118.13623898201556,34.19387050223217,0,0,0,1,0,0,1,0,0,0,0
Angeles Crest,971.0,7307.5,2.0,1.0,0.0,2.0,74.5,"$140,000.00",140000.0,1926.5,-117.9223952817848,34.31393700589531,0,0,1,0,0,0,0,0,1,0,0
Arcadia,2165.277777777778,9324.907407407407,3.259259259259259,2.6296296296296298,0.8148148148148148,4.425925925925926,57.925925925925924,"$990,768.56",990768.5555555545,1958.9259259259259,-118.03041899311202,34.13322999912302,0,0,1,0,0,0,0,1,0,0,0
Arleta,1489.7714285714285,7094.2,3.342857142857143,1.9714285714285715,8.914285714285715,7.171428571428572,61.857142857142854,"$542,906.29",542906.2857142857,1953.7428571428572,-118.4307575,34.24309999912158,0,0,1,0,0,0,0,0,0,1,0
Arlington Heights,2228.0,6922.75,3.0,2.25,13.25,7.25,108.25,"$1,027,250.00",1027250.0,1911.75,-118.3234085,34.04491049912405,1,0,0,0,0,0,0,0,0,1,0
Artesia,1646.8947368421052,6724.210526315789,3.473684210526316,2.210526315789474,9.842105263157896,6.894736842105263,57.421052631578945,"$662,210.53",662210.5263157896,1960.7368421052631,-118.08010100000017,33.86689599912627,0,0,0,1,0,0,0,0,1,0,0
Athens,1395.3333333333333,6333.666666666667,4.0,2.0,16.333333333333332,14.333333333333334,68.0,"$615,666.67",615666.6666666666,1952.0,-118.30465647554277,33.9236925059352,1,0,0,0,0,0,1,0,0,0,0
Atwater Village,1364.2307692307693,5618.2692307692305,2.6538461538461537,1.7692307692307692,6.346153846153846,8.307692307692308,79.65384615384616,"$1,082,346.15",1082346.153846153,1937.3846153846155,-118.26237347966236,34.13106635675918,1,0,0,0,0,0,0,0,0,1,0
Avocado Heights,1365.2142857142858,7683.0,3.2142857142857144,1.7857142857142858,5.428571428571429,5.071428571428571,55.07142857142857,"$571,035.71",571035.7142857144,1961.5,-118.0012614768012,34.040881003821966,0,0,0,1,0,0,0,0,0,1,0
Azusa,1725.4166666666667,7567.708333333333,3.2916666666666665,2.2291666666666665,6.208333333333333,5.541666666666667,55.291666666666664,"$586,864.58",586864.5833333329,1962.6875,-117.91246849999999,34.13746999912302,0,0,0,1,0,0,0,0,0,1,0
Baldwin Hills/Crenshaw,1927.65,7540.9,3.0,2.2,8.7,7.6,59.65,"$884,050.00",884050.0,1953.3,-118.35774600000005,34.01197027055953,1,0,0,0,0,0,1,0,0,0,0
Baldwin Park,1257.7878787878788,6351.818181818182,2.9242424242424243,1.696969696969697,5.53030303030303,6.348484848484849,58.92424242424242,"$519,878.79",519878.7878787883,1958.939393939394,-117.9751905000002,34.08110949912369,0,0,0,1,0,0,0,0,0,1,0
Bel-Air,2465.1666666666665,8475.666666666666,3.0,2.5,0.5,3.0,44.166666666666664,"$1,116,833.33",1116833.3333333333,1967.8333333333333,-118.45841550000007,34.10205699912334,1,0,0,0,0,0,0,0,1,0,0
Bell,1018.7142857142857,4355.0,2.4285714285714284,1.4285714285714286,16.142857142857142,10.571428571428571,77.28571428571429,"$474,928.57",474928.5714285714,1938.7142857142858,-118.17916600000018,33.98116099912489,0,0,0,1,0,0,0,0,0,1,0
Bell Gardens,1219.7777777777778,5841.666666666667,3.0,1.5555555555555556,13.11111111111111,14.444444444444445,59.111111111111114,"$418,444.44",418444.44444444444,1953.7777777777778,-118.1499360000002,33.965685999125014,0,0,0,1,0,0,0,0,0,1,0
Bellflower,1425.890410958904,6231.561643835616,3.0273972602739727,1.8082191780821917,14.726027397260275,5.876712328767123,63.9041095890411,"$590,657.53",590657.5342465759,1953.5616438356165,-118.12903150000017,33.88801349912606,0,0,0,1,0,0,0,0,1,0,0
Beverly Crest,1846.125,7754.5,2.5,2.4375,0.6875,2.75,54.5625,"$953,420.44",953420.4375,1957.875,-118.42326299999999,34.106006999123245,1,0,0,0,0,0,0,0,1,0,0
Beverly Grove,2641.846153846154,6265.384615384615,3.3846153846153846,3.1538461538461537,1.7692307692307692,8.23076923076923,52.0,"$882,076.92",882076.9230769234,1952.5384615384614,-118.376102,34.07663299912362,1,0,0,0,0,0,0,0,1,0,0
Beverly Hills,1713.3333333333333,9079.333333333334,2.0,2.0,0.6666666666666666,5.333333333333333,54.0,"$174,500.33",174500.33333333334,1925.0,-118.39953400000016,34.0825444991237,0,0,0,1,0,0,0,1,0,0,0
Beverlywood,2247.4444444444443,6548.333333333333,3.0,2.888888888888889,2.7777777777777777,5.666666666666667,53.888888888888886,"$1,298,222.22",1298222.2222222222,1959.3333333333333,-118.393982,34.04350999912405,1,0,0,0,0,0,0,1,0,0,0
Boyle Heights,1277.409090909091,4700.318181818182,2.8181818181818183,1.5909090909090908,19.272727272727273,8.727272727272727,92.31818181818181,"$511,613.64",511613.6363636365,1923.2272727272727,-118.21078750000007,34.039168499124116,1,0,0,0,0,0,1,0,0,0,0
Bradbury,2066.0,7624.0,3.0,2.0,1.0,5.0,66.0,"$810,000.00",810000.0,1954.0,-117.96857400000013,34.15423999912273,0,1,0,0,0,0,0,0,1,0,0
Brentwood,3224.1666666666665,9020.333333333334,3.9166666666666665,3.5833333333333335,1.1666666666666667,4.0,39.0,"$952,909.25",952909.25,1962.9166666666667,-118.49218850000007,34.08624099912355,1,0,0,0,0,0,0,1,0,0,0
Broadway-Manchester,1038.6,4914.866666666667,2.4,1.4,22.4,7.0,88.4,"$515,033.33",515033.3333333332,1929.0,-118.27535153247453,33.94122350288663,1,0,0,0,0,0,1,0,0,0,0
Burbank,1589.1655629139073,6873.225165562914,2.8940397350993377,1.814569536423841,3.543046357615894,6.993377483443709,74.0728476821192,"$940,127.07",940127.0728476809,1943.794701986755,-118.32521100000017,34.18201049912244,0,0,1,0,0,0,0,1,0,0,0
Calabasas,2396.7586206896553,8807.137931034482,4.068965517241379,2.9655172413793105,0.20689655172413793,2.1724137931034484,40.89655172413793,"$996,068.97",996068.9655172414,1975.6206896551723,-118.67163173539396,34.13625449912295,0,1,0,0,0,0,0,0,1,0,0
Canoga Park,1602.6363636363637,7753.681818181818,3.272727272727273,2.0454545454545454,6.363636363636363,7.409090909090909,61.18181818181818,"$706,457.05",706457.0454545451,1957.0454545454545,-118.6015195,34.21085499912201,0,1,0,0,0,0,0,0,0,1,0
Carson,1530.4315789473685,5617.442105263158,3.4526315789473685,1.936842105263158,8.094736842105263,11.663157894736843,56.88421052631579,"$515,015.62",515015.62105263077,1957.8736842105263,-118.24800950000022,33.839519999126665,0,0,0,1,0,0,0,0,0,1,0
Carthay,2142.8571428571427,6648.0,2.7142857142857144,2.4285714285714284,3.7142857142857144,6.571428571428571,82.0,"$1,078,285.71",1078285.7142857143,1929.142857142857,-118.36891,34.057855624951706,1,0,0,0,0,0,0,0,1,0,0
Castaic,2451.5,5957.0,4.0,3.0,0.0,5.5,26.0,"$680,000.00",680000.0,1994.0,-118.63334936248927,34.48174977031994,0,0,1,0,0,0,0,1,0,0,0
Castaic Canyons,2948.1451612903224,8030.274193548387,4.161290322580645,3.403225806451613,0.7419354838709677,3.1451612903225805,15.46774193548387,"$820,935.48",820935.4838709681,2003.9032258064517,-118.45476897959236,34.564146288577305,0,0,1,0,0,0,0,1,0,0,0
Central-Alameda,1139.5,4628.625,2.5,1.25,21.25,15.25,109.875,"$455,875.00",455875.0,1910.5,-118.24721250000012,34.006864031207506,1,0,0,0,0,0,1,0,0,0,0
Century City,1486.0,6111.2,2.4,1.8,2.4,6.6,82.0,"$1,310,100.00",1310100.0,1934.6,-118.41508300000005,34.055325502171065,1,0,0,0,0,0,0,0,1,0,0
Cerritos,1954.4827586206898,5570.568965517241,3.9655172413793105,2.603448275862069,6.275862068965517,5.844827586206897,43.63793103448276,"$735,025.86",735025.8620689659,1970.0862068965516,-118.06863750000007,33.86689249912628,0,0,1,0,0,0,0,1,0,0,0
Charter Oak,1573.421052631579,8864.105263157895,3.4210526315789473,2.1578947368421053,2.473684210526316,6.0,55.68421052631579,"$594,447.37",594447.3684210525,1961.7894736842106,-117.85751998453503,34.100075003109005,0,0,0,1,0,0,0,0,1,0,0
Chesterfield Square,1274.5454545454545,4870.272727272727,2.5454545454545454,1.0,22.181818181818183,9.090909090909092,92.45454545454545,"$506,454.55",506454.5454545455,1926.7272727272727,-118.31320800000006,33.98376299912485,1,0,0,0,0,0,1,0,0,0,0
Cheviot Hills,2296.5555555555557,7283.555555555556,3.6666666666666665,2.7777777777777777,3.0,4.666666666666667,63.44444444444444,"$918,055.56",918055.5555555557,1940.111111111111,-118.41146150000006,34.04085349912404,1,0,0,0,0,0,0,1,0,0,0
Citrus,1286.1176470588234,6756.882352941177,3.1176470588235294,1.7058823529411764,9.823529411764707,3.411764705882353,61.88235294117647,"$464,058.82",464058.8235294118,1954.0,-117.89216399278311,34.11618000242531,0,0,0,1,0,0,0,0,0,1,0
Claremont,1985.5070422535211,10254.718309859154,3.436619718309859,2.2816901408450705,1.6056338028169015,3.647887323943662,58.42253521126761,"$735,225.35",735225.3521126754,1959.2394366197184,-117.71876950000001,34.122365138512784,0,0,1,0,0,0,0,1,0,0,0
Commerce,986.0,4875.0,2.4545454545454546,1.8181818181818181,4.090909090909091,15.545454545454545,66.9090909090909,"$448,772.73",448772.72727272747,1948.6363636363637,-118.1573625000002,33.995079230018334,0,0,0,0,1,0,0,0,0,1,0
Compton,1222.6601941747572,5494.058252427184,2.8737864077669903,1.5339805825242718,16.70873786407767,10.029126213592233,69.74757281553399,"$471,339.81",471339.80582524155,1948.9417475728155,-118.2218104930422,33.89325199912594,0,0,0,0,1,0,1,0,0,0,0
Covina,1719.6875,8636.96875,3.25,2.09375,5.46875,6.53125,60.21875,"$570,687.50",570687.5,1955.84375,-117.88392199287892,34.08749549930933,0,0,0,1,0,0,0,0,1,0,0
Cudahy,1589.6666666666667,6303.333333333333,3.0,2.0,16.0,15.0,74.66666666666667,"$568,333.33",568333.3333333334,1945.6666666666667,-118.18557250000019,33.96262049912504,0,0,0,1,0,0,0,0,0,1,0
Culver City,1437.1379310344828,5472.758620689655,2.9310344827586206,1.6896551724137931,3.7241379310344827,10.96551724137931,71.41379310344827,"$1,147,155.17",1147155.1724137927,1944.1724137931035,-118.40902450000016,34.00589949912458,0,0,0,1,0,0,0,1,0,0,0
Cypress Park,1034.1666666666667,5415.833333333333,2.3333333333333335,1.1666666666666667,15.833333333333334,9.166666666666666,102.5,"$543,750.00",543750.0,1911.0,-118.22415649999999,34.09213949912345,1,0,0,0,0,0,0,0,0,1,0
Del Aire,1295.611111111111,5566.833333333333,2.888888888888889,1.7222222222222223,4.333333333333333,9.11111111111111,64.94444444444444,"$784,277.78",784277.7777777779,1953.611111111111,-118.36983198490955,33.915552004076844,1,0,0,0,0,0,0,0,0,1,0
Del Rey,1515.25,5270.85,2.95,2.0,5.95,10.0,68.3,"$1,231,400.00",1231400.0,1949.9,-118.423993,33.98929219201678,1,0,0,0,0,0,0,0,0,1,0
Desert View Highlands,2133.225352112676,8200.239436619719,3.704225352112676,2.6619718309859155,3.3943661971830985,3.1267605633802815,24.309859154929576,"$420,598.59",420598.5915492959,1995.112676056338,-118.15455633368757,34.59087715291683,0,0,0,1,0,0,0,0,1,0,0
Diamond Bar,1965.6122448979593,8868.489795918367,3.806122448979592,2.5816326530612246,0.7448979591836735,2.857142857142857,44.6530612244898,"$729,775.51",729775.5102040824,1973.204081632653,-117.81573066877161,34.000640999124634,0,0,1,0,0,0,0,1,0,0,0
Downey,1747.8,7175.753846153846,3.1846153846153844,2.146153846153846,7.130769230769231,6.792307692307692,60.73076923076923,"$648,488.46",648488.4615384627,1955.7384615384615,-118.13042300000015,33.937676999125415,0,0,0,1,0,0,0,0,1,0,0
Duarte,1366.0357142857142,6936.428571428572,2.9642857142857144,1.9285714285714286,1.3928571428571428,7.892857142857143,57.785714285714285,"$609,142.89",609142.8928571433,1959.4642857142858,-117.95762350000011,34.15785549912269,0,0,1,0,0,0,0,0,1,0,0
Eagle Rock,1375.2857142857142,7003.125,2.6785714285714284,1.7321428571428572,6.553571428571429,4.392857142857143,76.10714285714286,"$961,491.07",961491.0714285725,1941.9642857142858,-118.20484450000001,34.13391699912292,1,0,0,0,0,0,0,1,0,0,0
East Compton,917.3333333333334,5875.333333333333,2.0,1.0,11.0,5.0,74.66666666666667,"$336,333.33",336333.3333333333,1938.3333333333333,-118.19598900000028,33.894016822529835,0,0,0,0,1,0,1,0,0,0,0
East Hollywood,1314.0,5835.705882352941,2.411764705882353,1.411764705882353,11.235294117647058,5.411764705882353,100.76470588235294,"$925,823.53",925823.5294117647,1917.7058823529412,-118.2968085,34.08910949912348,1,0,0,0,0,0,0,0,0,1,0
East La Mirada,1521.6666666666667,6814.583333333333,3.375,2.0416666666666665,3.9166666666666665,3.2083333333333335,53.75,"$630,416.67",630416.6666666664,1962.625,-117.9907619882008,33.924510501549975,0,0,0,1,0,0,0,1,0,0,0
East Los Angeles,1074.9,5076.466666666666,2.55,1.3166666666666667,14.766666666666667,9.3,82.35,"$475,583.33",475583.33333333296,1934.5166666666667,-118.1596383526979,34.03516870986101,1,0,0,0,0,0,0,0,0,1,0
East Pasadena,1772.7333333333333,9417.266666666666,2.933333333333333,2.0,1.3333333333333333,4.8,68.73333333333333,"$793,133.40",793133.4000000003,1945.6666666666667,-118.08087798337868,34.13856350539128,0,0,0,1,0,0,0,0,0,1,0
East San Gabriel,1551.6666666666667,7548.733333333334,2.7333333333333334,1.8666666666666667,2.0,4.133333333333334,64.26666666666667,"$760,600.00",760600.0,1952.6666666666667,-118.07396450000032,34.110644492315856,0,0,1,0,0,0,0,0,1,0,0
Echo Park,1192.9444444444443,6314.111111111111,2.111111111111111,1.6111111111111112,7.611111111111111,5.722222222222222,87.5,"$1,049,027.78",1049027.7777777775,1931.4444444444443,-118.2590075,34.07953399912368,1,0,0,0,0,0,0,0,1,0,0
El Monte,1267.9545454545455,7179.295454545455,2.8636363636363638,1.6136363636363635,7.7272727272727275,8.909090909090908,64.3409090909091,"$508,529.95",508529.9545454543,1950.5681818181818,-118.03519600000016,34.07116949912379,0,0,0,1,0,0,0,0,1,0,0
El Segundo,1986.5,6729.285714285715,3.4285714285714284,2.4285714285714284,2.4285714285714284,10.5,59.785714285714285,"$1,062,964.29",1062964.2857142857,1949.5714285714287,-118.40223073369825,33.91658299912574,0,0,0,1,0,0,0,1,0,0,0
El Sereno,1165.25,5973.615384615385,2.4038461538461537,1.4615384615384615,12.153846153846153,8.48076923076923,77.5,"$648,326.92",648326.9230769237,1941.0576923076924,-118.1762975,34.08224218320447,1,0,0,0,0,0,0,0,0,1,0
Elysian Park,880.0,2931.0,2.0,1.0,7.0,10.0,97.0,"$575,000.00",575000.0,1924.0,-118.23745650000001,34.08125999912349,1,0,0,0,0,0,0,0,1,0,0
Elysian Valley,1061.5555555555557,4791.777777777777,2.3333333333333335,1.6666666666666667,11.777777777777779,9.88888888888889,85.0,"$865,030.33",865030.3333333333,1932.4444444444443,-118.24195650000013,34.09575949912339,1,0,0,0,0,0,0,0,1,0,0
Exposition Park,1227.142857142857,5704.571428571428,2.5238095238095237,1.1428571428571428,22.19047619047619,5.190476190476191,104.76190476190476,"$677,976.19",677976.1904761904,1912.2380952380952,-118.29887550000007,34.018262499124305,1,0,0,0,0,0,1,0,0,0,0
Fairfax,1975.8333333333333,4285.333333333333,2.9166666666666665,2.75,8.166666666666666,10.666666666666666,51.25,"$1,184,500.00",1184500.0,1964.8333333333333,-118.35285800000005,34.07893599912363,1,0,0,0,0,0,0,0,0,1,0
Florence,1122.5,4728.818181818182,2.3636363636363638,1.3636363636363635,22.181818181818183,10.954545454545455,86.0,"$504,272.73",504272.7272727273,1932.7727272727273,-118.26860650000008,33.97456400077449,1,0,0,0,0,0,1,0,0,0,0
Florence-Firestone,943.9047619047619,4544.428571428572,2.1904761904761907,1.1428571428571428,20.095238095238095,11.428571428571429,84.80952380952381,"$419,404.76",419404.761904762,1929.5238095238096,-118.24192048907494,33.96610152027279,1,0,0,0,0,0,1,0,0,0,0
Gardena,1401.9583333333333,5930.75,2.9583333333333335,1.8125,7.395833333333333,15.666666666666666,59.125,"$535,364.58",535364.5833333331,1953.75,-118.30862700000014,33.891005999125994,0,0,0,1,0,0,0,0,0,1,0
Glassell Park,1622.8214285714287,6013.785714285715,2.8214285714285716,2.25,12.142857142857142,5.25,60.92857142857143,"$862,339.29",862339.2857142861,1956.0714285714287,-118.23642729889393,34.11440549912321,1,0,0,0,0,0,1,0,0,0,0
Glendale,1728.0,7667.922077922078,2.824675324675325,2.012987012987013,1.7077922077922079,4.37012987012987,71.4090909090909,"$918,581.17",918581.1688311694,1943.4415584415585,-118.2449270000002,34.192975499122355,0,0,1,0,0,0,0,0,1,0,0
