Address,Property_type,Rooms,Home_size,Lot Size,Year_built,Parcel_number,RealtyID,County,Subdivision,Census,Tract,Lot,Zoning,Date,Sale_price,Estimated Value
1809 W Clark Ave,Single Family Residence,"2 beds, 1 bath","1,000 sqft","6,892 sqft",1926,2447014004,1110728845,Los Angeles,5427,4,310800,4,"
Zoning:

BUR1YY
		"," Free with Trial
",09/16/2020,"$790,000"
4711 W 29th St,Single Family Residence,"2 beds, 1 bath","1,132 sqft","2,750 sqft",1927,5057008024,1110724102,Los Angeles,5780,5,220000,623,"
Zoning:

LAR2
		",09/16/2020,"$888,000","$794,000"
15362 Del Prado Dr,Single Family Residence,"4 beds, 3 baths","2,462 sqft","10,250 sqft",1970,8290004038,1110725454,Los Angeles,29726,3,408503,10,"
Zoning:

LCRA1L
		"," Free with Trial
",09/16/2020,"$802,000"
16622 Shenandoah Ave,Condominium,"2 beds, 2 baths",904 sqft,"7,007 sqft",1973,7012006007,1110725503,Los Angeles,31077,1,554514,,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,"$428,000"
633 W 5th St,Office Building,Built in,30.9 acres,1.17 acres,1988,5151017028,1110725507,Los Angeles,MOTT,1,207502,6,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,
3505 S Flemington Dr,Single Family Residence,"3 beds, 2 baths","1,272 sqft","6,734 sqft",1964,8722006029,1110726179,Los Angeles,27416,1,408136,280,"
Zoning:

WCR1*
		",09/16/2020,"$597,500","$574,000"
3913 Bentley Ave # 4,Condominium,"3 beds, 3 baths","2,120 sqft","7,505 sqft",2005,4213017054,1110726706,Los Angeles,TALAMANTES ALLOTS,1,702801,1,"
Zoning:

CCR4*
		",09/16/2020,"$1,275,000","$1,057,000"
921 N Kenwood St,Single Family Residence,"2 beds, 1 bath","1,042 sqft","6,750 sqft",1941,2481003020,1110727511,Los Angeles,6259,1,311400,45,"
Zoning:

BUR2*
		",09/16/2020,"$775,000","$829,000"
1421 Ewing St,Single Family Residence,"1 bed, 1 bath",736 sqft,"7,370 sqft",1930,5415009009,1110728144,Los Angeles,ELYSIAN VIEW,1,197300,10,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$911,000"
11616 Killion St,Single Family Residence,"3 beds, 1 bath",996 sqft,"6,209 sqft",1944,2350002041,1110728783,Los Angeles,11407,1,125200,28,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$603,000"
1809 W Clark Ave,Single Family Residence,"2 beds, 1 bath","1,000 sqft","6,892 sqft",1926,2447014004,1110728845,Los Angeles,5427,4,310800,4,"
Zoning:

BUR1YY
		"," Free with Trial
",09/16/2020,"$790,000"
4711 W 29th St,Single Family Residence,"2 beds, 1 bath","1,132 sqft","2,750 sqft",1927,5057008024,1110724102,Los Angeles,5780,5,220000,623,"
Zoning:

LAR2
		",09/16/2020,"$888,000","$794,000"
15362 Del Prado Dr,Single Family Residence,"4 beds, 3 baths","2,462 sqft","10,250 sqft",1970,8290004038,1110725454,Los Angeles,29726,3,408503,10,"
Zoning:

LCRA1L
		"," Free with Trial
",09/16/2020,"$802,000"
16622 Shenandoah Ave,Condominium,"2 beds, 2 baths",904 sqft,"7,007 sqft",1973,7012006007,1110725503,Los Angeles,31077,1,554514,,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,"$428,000"
633 W 5th St,Office Building,Built in,30.9 acres,1.17 acres,1988,5151017028,1110725507,Los Angeles,MOTT,1,207502,6,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,
3505 S Flemington Dr,Single Family Residence,"3 beds, 2 baths","1,272 sqft","6,734 sqft",1964,8722006029,1110726179,Los Angeles,27416,1,408136,280,"
Zoning:

WCR1*
		",09/16/2020,"$597,500","$574,000"
3913 Bentley Ave # 4,Condominium,"3 beds, 3 baths","2,120 sqft","7,505 sqft",2005,4213017054,1110726706,Los Angeles,TALAMANTES ALLOTS,1,702801,1,"
Zoning:

CCR4*
		",09/16/2020,"$1,275,000","$1,057,000"
921 N Kenwood St,Single Family Residence,"2 beds, 1 bath","1,042 sqft","6,750 sqft",1941,2481003020,1110727511,Los Angeles,6259,1,311400,45,"
Zoning:

BUR2*
		",09/16/2020,"$775,000","$829,000"
1421 Ewing St,Single Family Residence,"1 bed, 1 bath",736 sqft,"7,370 sqft",1930,5415009009,1110728144,Los Angeles,ELYSIAN VIEW,1,197300,10,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$911,000"
11616 Killion St,Single Family Residence,"3 beds, 1 bath",996 sqft,"6,209 sqft",1944,2350002041,1110728783,Los Angeles,11407,1,125200,28,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$603,000"
1809 W Clark Ave,Single Family Residence,"2 beds, 1 bath","1,000 sqft","6,892 sqft",1926,2447014004,1110728845,Los Angeles,5427,4,310800,4,"
Zoning:

BUR1YY
		"," Free with Trial
",09/16/2020,"$790,000"
4711 W 29th St,Single Family Residence,"2 beds, 1 bath","1,132 sqft","2,750 sqft",1927,5057008024,1110724102,Los Angeles,5780,5,220000,623,"
Zoning:

LAR2
		",09/16/2020,"$888,000","$794,000"
15362 Del Prado Dr,Single Family Residence,"4 beds, 3 baths","2,462 sqft","10,250 sqft",1970,8290004038,1110725454,Los Angeles,29726,3,408503,10,"
Zoning:

LCRA1L
		"," Free with Trial
",09/16/2020,"$802,000"
16622 Shenandoah Ave,Condominium,"2 beds, 2 baths",904 sqft,"7,007 sqft",1973,7012006007,1110725503,Los Angeles,31077,1,554514,,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,"$428,000"
633 W 5th St,Office Building,Built in,30.9 acres,1.17 acres,1988,5151017028,1110725507,Los Angeles,MOTT,1,207502,6,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,
3505 S Flemington Dr,Single Family Residence,"3 beds, 2 baths","1,272 sqft","6,734 sqft",1964,8722006029,1110726179,Los Angeles,27416,1,408136,280,"
Zoning:

WCR1*
		",09/16/2020,"$597,500","$574,000"
3913 Bentley Ave # 4,Condominium,"3 beds, 3 baths","2,120 sqft","7,505 sqft",2005,4213017054,1110726706,Los Angeles,TALAMANTES ALLOTS,1,702801,1,"
Zoning:

CCR4*
		",09/16/2020,"$1,275,000","$1,057,000"
921 N Kenwood St,Single Family Residence,"2 beds, 1 bath","1,042 sqft","6,750 sqft",1941,2481003020,1110727511,Los Angeles,6259,1,311400,45,"
Zoning:

BUR2*
		",09/16/2020,"$775,000","$829,000"
1421 Ewing St,Single Family Residence,"1 bed, 1 bath",736 sqft,"7,370 sqft",1930,5415009009,1110728144,Los Angeles,ELYSIAN VIEW,1,197300,10,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$911,000"
11616 Killion St,Single Family Residence,"3 beds, 1 bath",996 sqft,"6,209 sqft",1944,2350002041,1110728783,Los Angeles,11407,1,125200,28,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$603,000"
1809 W Clark Ave,Single Family Residence,"2 beds, 1 bath","1,000 sqft","6,892 sqft",1926,2447014004,1110728845,Los Angeles,5427,4,310800,4,"
Zoning:

BUR1YY
		"," Free with Trial
",09/16/2020,"$790,000"
4711 W 29th St,Single Family Residence,"2 beds, 1 bath","1,132 sqft","2,750 sqft",1927,5057008024,1110724102,Los Angeles,5780,5,220000,623,"
Zoning:

LAR2
		",09/16/2020,"$888,000","$794,000"
15362 Del Prado Dr,Single Family Residence,"4 beds, 3 baths","2,462 sqft","10,250 sqft",1970,8290004038,1110725454,Los Angeles,29726,3,408503,10,"
Zoning:

LCRA1L
		"," Free with Trial
",09/16/2020,"$802,000"
16622 Shenandoah Ave,Condominium,"2 beds, 2 baths",904 sqft,"7,007 sqft",1973,7012006007,1110725503,Los Angeles,31077,1,554514,,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,"$428,000"
633 W 5th St,Office Building,Built in,30.9 acres,1.17 acres,1988,5151017028,1110725507,Los Angeles,MOTT,1,207502,6,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,
3505 S Flemington Dr,Single Family Residence,"3 beds, 2 baths","1,272 sqft","6,734 sqft",1964,8722006029,1110726179,Los Angeles,27416,1,408136,280,"
Zoning:

WCR1*
		",09/16/2020,"$597,500","$574,000"
3913 Bentley Ave # 4,Condominium,"3 beds, 3 baths","2,120 sqft","7,505 sqft",2005,4213017054,1110726706,Los Angeles,TALAMANTES ALLOTS,1,702801,1,"
Zoning:

CCR4*
		",09/16/2020,"$1,275,000","$1,057,000"
921 N Kenwood St,Single Family Residence,"2 beds, 1 bath","1,042 sqft","6,750 sqft",1941,2481003020,1110727511,Los Angeles,6259,1,311400,45,"
Zoning:

BUR2*
		",09/16/2020,"$775,000","$829,000"
1421 Ewing St,Single Family Residence,"1 bed, 1 bath",736 sqft,"7,370 sqft",1930,5415009009,1110728144,Los Angeles,ELYSIAN VIEW,1,197300,10,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$911,000"
11616 Killion St,Single Family Residence,"3 beds, 1 bath",996 sqft,"6,209 sqft",1944,2350002041,1110728783,Los Angeles,11407,1,125200,28,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$603,000"
1809 W Clark Ave,Single Family Residence,"2 beds, 1 bath","1,000 sqft","6,892 sqft",1926,2447014004,1110728845,Los Angeles,5427,4,310800,4,"
Zoning:

BUR1YY
		"," Free with Trial
",09/16/2020,"$790,000"
4711 W 29th St,Single Family Residence,"2 beds, 1 bath","1,132 sqft","2,750 sqft",1927,5057008024,1110724102,Los Angeles,5780,5,220000,623,"
Zoning:

LAR2
		",09/16/2020,"$888,000","$794,000"
15362 Del Prado Dr,Single Family Residence,"4 beds, 3 baths","2,462 sqft","10,250 sqft",1970,8290004038,1110725454,Los Angeles,29726,3,408503,10,"
Zoning:

LCRA1L
		"," Free with Trial
",09/16/2020,"$802,000"
16622 Shenandoah Ave,Condominium,"2 beds, 2 baths",904 sqft,"7,007 sqft",1973,7012006007,1110725503,Los Angeles,31077,1,554514,,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,"$428,000"
633 W 5th St,Office Building,Built in,30.9 acres,1.17 acres,1988,5151017028,1110725507,Los Angeles,MOTT,1,207502,6,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,
3505 S Flemington Dr,Single Family Residence,"3 beds, 2 baths","1,272 sqft","6,734 sqft",1964,8722006029,1110726179,Los Angeles,27416,1,408136,280,"
Zoning:

WCR1*
		",09/16/2020,"$597,500","$574,000"
3913 Bentley Ave # 4,Condominium,"3 beds, 3 baths","2,120 sqft","7,505 sqft",2005,4213017054,1110726706,Los Angeles,TALAMANTES ALLOTS,1,702801,1,"
Zoning:

CCR4*
		",09/16/2020,"$1,275,000","$1,057,000"
921 N Kenwood St,Single Family Residence,"2 beds, 1 bath","1,042 sqft","6,750 sqft",1941,2481003020,1110727511,Los Angeles,6259,1,311400,45,"
Zoning:

BUR2*
		",09/16/2020,"$775,000","$829,000"
1421 Ewing St,Single Family Residence,"1 bed, 1 bath",736 sqft,"7,370 sqft",1930,5415009009,1110728144,Los Angeles,ELYSIAN VIEW,1,197300,10,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$911,000"
11616 Killion St,Single Family Residence,"3 beds, 1 bath",996 sqft,"6,209 sqft",1944,2350002041,1110728783,Los Angeles,11407,1,125200,28,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$603,000"
1809 W Clark Ave,Single Family Residence,"2 beds, 1 bath","1,000 sqft","6,892 sqft",1926,2447014004,1110728845,Los Angeles,5427,4,310800,4,"
Zoning:

BUR1YY
		"," Free with Trial
",09/16/2020,"$790,000"
4711 W 29th St,Single Family Residence,"2 beds, 1 bath","1,132 sqft","2,750 sqft",1927,5057008024,1110724102,Los Angeles,5780,5,220000,623,"
Zoning:

LAR2
		",09/16/2020,"$888,000","$794,000"
15362 Del Prado Dr,Single Family Residence,"4 beds, 3 baths","2,462 sqft","10,250 sqft",1970,8290004038,1110725454,Los Angeles,29726,3,408503,10,"
Zoning:

LCRA1L
		"," Free with Trial
",09/16/2020,"$802,000"
16622 Shenandoah Ave,Condominium,"2 beds, 2 baths",904 sqft,"7,007 sqft",1973,7012006007,1110725503,Los Angeles,31077,1,554514,,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,"$428,000"
633 W 5th St,Office Building,Built in,30.9 acres,1.17 acres,1988,5151017028,1110725507,Los Angeles,MOTT,1,207502,6,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,
3505 S Flemington Dr,Single Family Residence,"3 beds, 2 baths","1,272 sqft","6,734 sqft",1964,8722006029,1110726179,Los Angeles,27416,1,408136,280,"
Zoning:

WCR1*
		",09/16/2020,"$597,500","$574,000"
3913 Bentley Ave # 4,Condominium,"3 beds, 3 baths","2,120 sqft","7,505 sqft",2005,4213017054,1110726706,Los Angeles,TALAMANTES ALLOTS,1,702801,1,"
Zoning:

CCR4*
		",09/16/2020,"$1,275,000","$1,057,000"
921 N Kenwood St,Single Family Residence,"2 beds, 1 bath","1,042 sqft","6,750 sqft",1941,2481003020,1110727511,Los Angeles,6259,1,311400,45,"
Zoning:

BUR2*
		",09/16/2020,"$775,000","$829,000"
1421 Ewing St,Single Family Residence,"1 bed, 1 bath",736 sqft,"7,370 sqft",1930,5415009009,1110728144,Los Angeles,ELYSIAN VIEW,1,197300,10,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$911,000"
11616 Killion St,Single Family Residence,"3 beds, 1 bath",996 sqft,"6,209 sqft",1944,2350002041,1110728783,Los Angeles,11407,1,125200,28,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$603,000"
1809 W Clark Ave,Single Family Residence,"2 beds, 1 bath","1,000 sqft","6,892 sqft",1926,2447014004,1110728845,Los Angeles,5427,4,310800,4,"
Zoning:

BUR1YY
		"," Free with Trial
",09/16/2020,"$790,000"
4711 W 29th St,Single Family Residence,"2 beds, 1 bath","1,132 sqft","2,750 sqft",1927,5057008024,1110724102,Los Angeles,5780,5,220000,623,"
Zoning:

LAR2
		",09/16/2020,"$888,000","$794,000"
15362 Del Prado Dr,Single Family Residence,"4 beds, 3 baths","2,462 sqft","10,250 sqft",1970,8290004038,1110725454,Los Angeles,29726,3,408503,10,"
Zoning:

LCRA1L
		"," Free with Trial
",09/16/2020,"$802,000"
16622 Shenandoah Ave,Condominium,"2 beds, 2 baths",904 sqft,"7,007 sqft",1973,7012006007,1110725503,Los Angeles,31077,1,554514,,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,"$428,000"
633 W 5th St,Office Building,Built in,30.9 acres,1.17 acres,1988,5151017028,1110725507,Los Angeles,MOTT,1,207502,6,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,
3505 S Flemington Dr,Single Family Residence,"3 beds, 2 baths","1,272 sqft","6,734 sqft",1964,8722006029,1110726179,Los Angeles,27416,1,408136,280,"
Zoning:

WCR1*
		",09/16/2020,"$597,500","$574,000"
3913 Bentley Ave # 4,Condominium,"3 beds, 3 baths","2,120 sqft","7,505 sqft",2005,4213017054,1110726706,Los Angeles,TALAMANTES ALLOTS,1,702801,1,"
Zoning:

CCR4*
		",09/16/2020,"$1,275,000","$1,057,000"
921 N Kenwood St,Single Family Residence,"2 beds, 1 bath","1,042 sqft","6,750 sqft",1941,2481003020,1110727511,Los Angeles,6259,1,311400,45,"
Zoning:

BUR2*
		",09/16/2020,"$775,000","$829,000"
1421 Ewing St,Single Family Residence,"1 bed, 1 bath",736 sqft,"7,370 sqft",1930,5415009009,1110728144,Los Angeles,ELYSIAN VIEW,1,197300,10,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$911,000"
11616 Killion St,Single Family Residence,"3 beds, 1 bath",996 sqft,"6,209 sqft",1944,2350002041,1110728783,Los Angeles,11407,1,125200,28,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$603,000"
1809 W Clark Ave,Single Family Residence,"2 beds, 1 bath","1,000 sqft","6,892 sqft",1926,2447014004,1110728845,Los Angeles,5427,4,310800,4,"
Zoning:

BUR1YY
		"," Free with Trial
",09/16/2020,"$790,000"
4711 W 29th St,Single Family Residence,"2 beds, 1 bath","1,132 sqft","2,750 sqft",1927,5057008024,1110724102,Los Angeles,5780,5,220000,623,"
Zoning:

LAR2
		",09/16/2020,"$888,000","$794,000"
15362 Del Prado Dr,Single Family Residence,"4 beds, 3 baths","2,462 sqft","10,250 sqft",1970,8290004038,1110725454,Los Angeles,29726,3,408503,10,"
Zoning:

LCRA1L
		"," Free with Trial
",09/16/2020,"$802,000"
16622 Shenandoah Ave,Condominium,"2 beds, 2 baths",904 sqft,"7,007 sqft",1973,7012006007,1110725503,Los Angeles,31077,1,554514,,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,"$428,000"
633 W 5th St,Office Building,Built in,30.9 acres,1.17 acres,1988,5151017028,1110725507,Los Angeles,MOTT,1,207502,6,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,
3505 S Flemington Dr,Single Family Residence,"3 beds, 2 baths","1,272 sqft","6,734 sqft",1964,8722006029,1110726179,Los Angeles,27416,1,408136,280,"
Zoning:

WCR1*
		",09/16/2020,"$597,500","$574,000"
3913 Bentley Ave # 4,Condominium,"3 beds, 3 baths","2,120 sqft","7,505 sqft",2005,4213017054,1110726706,Los Angeles,TALAMANTES ALLOTS,1,702801,1,"
Zoning:

CCR4*
		",09/16/2020,"$1,275,000","$1,057,000"
921 N Kenwood St,Single Family Residence,"2 beds, 1 bath","1,042 sqft","6,750 sqft",1941,2481003020,1110727511,Los Angeles,6259,1,311400,45,"
Zoning:

BUR2*
		",09/16/2020,"$775,000","$829,000"
1421 Ewing St,Single Family Residence,"1 bed, 1 bath",736 sqft,"7,370 sqft",1930,5415009009,1110728144,Los Angeles,ELYSIAN VIEW,1,197300,10,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$911,000"
11616 Killion St,Single Family Residence,"3 beds, 1 bath",996 sqft,"6,209 sqft",1944,2350002041,1110728783,Los Angeles,11407,1,125200,28,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$603,000"
1809 W Clark Ave,Single Family Residence,"2 beds, 1 bath","1,000 sqft","6,892 sqft",1926,2447014004,1110728845,Los Angeles,5427,4,310800,4,"
Zoning:

BUR1YY
		"," Free with Trial
",09/16/2020,"$790,000"
4711 W 29th St,Single Family Residence,"2 beds, 1 bath","1,132 sqft","2,750 sqft",1927,5057008024,1110724102,Los Angeles,5780,5,220000,623,"
Zoning:

LAR2
		",09/16/2020,"$888,000","$794,000"
15362 Del Prado Dr,Single Family Residence,"4 beds, 3 baths","2,462 sqft","10,250 sqft",1970,8290004038,1110725454,Los Angeles,29726,3,408503,10,"
Zoning:

LCRA1L
		"," Free with Trial
",09/16/2020,"$802,000"
16622 Shenandoah Ave,Condominium,"2 beds, 2 baths",904 sqft,"7,007 sqft",1973,7012006007,1110725503,Los Angeles,31077,1,554514,,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,"$428,000"
633 W 5th St,Office Building,Built in,30.9 acres,1.17 acres,1988,5151017028,1110725507,Los Angeles,MOTT,1,207502,6,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,
3505 S Flemington Dr,Single Family Residence,"3 beds, 2 baths","1,272 sqft","6,734 sqft",1964,8722006029,1110726179,Los Angeles,27416,1,408136,280,"
Zoning:

WCR1*
		",09/16/2020,"$597,500","$574,000"
3913 Bentley Ave # 4,Condominium,"3 beds, 3 baths","2,120 sqft","7,505 sqft",2005,4213017054,1110726706,Los Angeles,TALAMANTES ALLOTS,1,702801,1,"
Zoning:

CCR4*
		",09/16/2020,"$1,275,000","$1,057,000"
921 N Kenwood St,Single Family Residence,"2 beds, 1 bath","1,042 sqft","6,750 sqft",1941,2481003020,1110727511,Los Angeles,6259,1,311400,45,"
Zoning:

BUR2*
		",09/16/2020,"$775,000","$829,000"
1421 Ewing St,Single Family Residence,"1 bed, 1 bath",736 sqft,"7,370 sqft",1930,5415009009,1110728144,Los Angeles,ELYSIAN VIEW,1,197300,10,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$911,000"
11616 Killion St,Single Family Residence,"3 beds, 1 bath",996 sqft,"6,209 sqft",1944,2350002041,1110728783,Los Angeles,11407,1,125200,28,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$603,000"
1809 W Clark Ave,Single Family Residence,"2 beds, 1 bath","1,000 sqft","6,892 sqft",1926,2447014004,1110728845,Los Angeles,5427,4,310800,4,"
Zoning:

BUR1YY
		"," Free with Trial
",09/16/2020,"$790,000"
4711 W 29th St,Single Family Residence,"2 beds, 1 bath","1,132 sqft","2,750 sqft",1927,5057008024,1110724102,Los Angeles,5780,5,220000,623,"
Zoning:

LAR2
		",09/16/2020,"$888,000","$794,000"
15362 Del Prado Dr,Single Family Residence,"4 beds, 3 baths","2,462 sqft","10,250 sqft",1970,8290004038,1110725454,Los Angeles,29726,3,408503,10,"
Zoning:

LCRA1L
		"," Free with Trial
",09/16/2020,"$802,000"
16622 Shenandoah Ave,Condominium,"2 beds, 2 baths",904 sqft,"7,007 sqft",1973,7012006007,1110725503,Los Angeles,31077,1,554514,,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,"$428,000"
633 W 5th St,Office Building,Built in,30.9 acres,1.17 acres,1988,5151017028,1110725507,Los Angeles,MOTT,1,207502,6,"
Legal:

				Free With Trial
"," Free with Trial
",09/16/2020,
3505 S Flemington Dr,Single Family Residence,"3 beds, 2 baths","1,272 sqft","6,734 sqft",1964,8722006029,1110726179,Los Angeles,27416,1,408136,280,"
Zoning:

WCR1*
		",09/16/2020,"$597,500","$574,000"
3913 Bentley Ave # 4,Condominium,"3 beds, 3 baths","2,120 sqft","7,505 sqft",2005,4213017054,1110726706,Los Angeles,TALAMANTES ALLOTS,1,702801,1,"
Zoning:

CCR4*
		",09/16/2020,"$1,275,000","$1,057,000"
921 N Kenwood St,Single Family Residence,"2 beds, 1 bath","1,042 sqft","6,750 sqft",1941,2481003020,1110727511,Los Angeles,6259,1,311400,45,"
Zoning:

BUR2*
		",09/16/2020,"$775,000","$829,000"
1421 Ewing St,Single Family Residence,"1 bed, 1 bath",736 sqft,"7,370 sqft",1930,5415009009,1110728144,Los Angeles,ELYSIAN VIEW,1,197300,10,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$911,000"
11616 Killion St,Single Family Residence,"3 beds, 1 bath",996 sqft,"6,209 sqft",1944,2350002041,1110728783,Los Angeles,11407,1,125200,28,"
Zoning:

LAR1
		"," Free with Trial
",09/16/2020,"$603,000"
1809 W Clark Ave,Single Family Residence,"2 beds, 1 bath","1,000 sqft","6,892 sqft",1926,2447014004,1110728845,Los Angeles,5427,4,310800,4,"
Zoning:

BUR1YY
		"," Free with Trial
",09/16/2020,"$790,000"
